element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
Al,13,"=""7.17631592""","=""1.7919e+13""","=""1.3835e-01""",AA,"=""0.000000""","=""(1727.685901)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",,
Al,12,"=""7.7572957""","=""2.75e+13""","=""7.45e-01""",AA,"=""0.00000""","=""(1598.29152)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",,
Al,13,"=""25.5941588""","=""2.2609e+11""","=""4.4407e-02""",AA,"=""(1727.685901)""","=""(2212.1097092)""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",,
Al,13,"=""25.5968305""","=""1.4147e+11""","=""2.7791e-02""",AA,"=""(1727.736611)""","=""(2212.1098555)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,
Al,13,"=""25.6012388""","=""1.4203e+11""","=""1.3956e-02""",AA,"=""(1727.736611)""","=""(2212.026452)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,
Al,13,"=""25.6617439""","=""2.6947e+11""","=""3.9905e-02""",AA,"=""(1728.989427)""","=""(2212.1374123)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",,
Al,12,"=""25.96849""","=""1.28e+10""","=""3.88e-03""",A,"=""(1588.95035)""","=""(2066.3913)""","=""1s.2s""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",,
Al,12,"=""26.22074""","=""1.75e+10""","=""5.42e-03""",A,"=""(1588.95035)""","=""(2061.7982)""","=""1s.2s""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",,
Al,12,"=""26.58168""","=""2.50e+10""","=""7.94e-03""",B,"=""(1588.95035)""","=""(2055.3776)""","=""1s.2s""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",,
Al,12,"=""27.12627""","=""3.72e+10""","=""1.23e-02""",B+,"=""(1588.95035)""","=""(2046.0135)""","=""1s.2s""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",,
Al,12,"=""28.01025""","=""5.92e+10""","=""2.09e-02""",A,"=""(1588.95035)""","=""(2031.5890)""","=""1s.2s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,
Al,13,"=""28.6571909""","=""4.9439e+11""","=""1.2174e-01""",AA,"=""(1727.685901)""","=""(2160.3319300)""","=""2p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",,
Al,13,"=""28.6605315""","=""2.7624e+11""","=""6.8037e-02""",AA,"=""(1727.736611)""","=""(2160.332213)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,
Al,13,"=""28.6713301""","=""2.7767e+11""","=""3.4220e-02""",AA,"=""(1727.736611)""","=""(2160.169282)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,
Al,12,"=""28.68977""","=""1.06e+11""","=""2.19e-02""",A,"=""(1574.97995)""","=""(2007.1347)""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""2""",,
Al,12,"=""28.69246""","=""1.07e+11""","=""1.32e-02""",A,"=""(1574.97995)""","=""(2007.0941)""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""1""",,
Al,12,"=""28.69318""","=""1.06e+11""","=""4.38e-03""",A,"=""(1574.97995)""","=""(2007.0834)""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""0""",,
Al,13,"=""28.7401885""","=""5.8965e+11""","=""1.0953e-01""",AA,"=""(1728.989427)""","=""(2160.3860355)""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",,
Al,11,"=""29.416""","=""1.29e+10""","=""3.34e-03""",C+,"=""0.00000""","=""421.48""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.9p""","=""2P*""","=""3/2""",,
Al,11,"=""29.416""","=""1.29e+10""","=""1.67e-03""",C+,"=""0.00000""","=""421.48""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.9p""","=""2P*""","=""1/2""",,
Al,12,"=""29.55018""","=""1.15e+11""","=""4.52e-02""",A,"=""(1587.97098)""","=""(2007.543)""","=""1s.2p""","=""3P*""","=""0""","=""1s.5d""","=""3D""","=""1""",,
Al,12,"=""29.56092""","=""1.55e+11""","=""3.39e-02""",A,"=""(1588.12560)""","=""(2007.545)""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",,
Al,12,"=""29.56107""","=""8.63e+10""","=""1.13e-02""",A,"=""(1588.12560)""","=""(2007.543)""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",,
Al,12,"=""29.60480""","=""2.06e+11""","=""3.79e-02""",A,"=""(1588.76116)""","=""(2007.559)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",,
Al,12,"=""29.60579""","=""5.15e+10""","=""6.77e-03""",A,"=""(1588.76116)""","=""(2007.545)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",,
Al,12,"=""29.60594""","=""5.72e+09""","=""4.51e-04""",B+,"=""(1588.76116)""","=""(2007.543)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",,
Al,12,"=""29.61005""","=""1.02e+11""","=""4.03e-02""",A,"=""(1588.95035)""","=""(2007.6738)""","=""1s.2s""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,
Al,12,"=""29.63498""","=""3.70e+09""","=""1.46e-03""",B+,"=""(1587.97098)""","=""(2006.342)""","=""1s.2p""","=""3P*""","=""0""","=""1s.5s""","=""3S""","=""1""",,
Al,12,"=""29.64594""","=""1.11e+10""","=""1.46e-03""",A,"=""(1588.12560)""","=""(2006.342)""","=""1s.2p""","=""3P*""","=""1""","=""1s.5s""","=""3S""","=""1""",,
Al,12,"=""29.69106""","=""1.84e+10""","=""1.46e-03""",A,"=""(1588.76116)""","=""(2006.342)""","=""1s.2p""","=""3P*""","=""2""","=""1s.5s""","=""3S""","=""1""",,
Al,11,"=""29.793""","=""1.83e+10""","=""4.88e-03""",B,"=""0.00000""","=""416.15""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""3/2""",,
Al,11,"=""29.793""","=""1.83e+10""","=""2.44e-03""",B,"=""0.00000""","=""416.15""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.8p""","=""2P*""","=""1/2""",,
Al,12,"=""30.29201""","=""1.91e+11""","=""4.37e-02""",A,"=""(1598.29152)""","=""(2007.5882)""","=""1s.2p""","=""1P*""","=""1""","=""1s.5d""","=""1D""","=""2""",,
Al,12,"=""30.32870""","=""3.18e+10""","=""1.46e-03""",A,"=""(1598.29152)""","=""(2007.093)""","=""1s.2p""","=""1P*""","=""1""","=""1s.5s""","=""1S""","=""0""",,
Al,11,"=""30.376""","=""2.73e+10""","=""7.55e-03""",B,"=""0.00000""","=""408.17""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""3/2""",,
Al,11,"=""30.376""","=""2.75e+10""","=""3.80e-03""",B,"=""0.00000""","=""408.17""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.7p""","=""2P*""","=""1/2""",,
Al,11,"=""31.313""","=""4.32e+10""","=""1.27e-02""",A,"=""0.00000""","=""395.96""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""3/2""",,
Al,11,"=""31.313""","=""4.36e+10""","=""6.40e-03""",A,"=""0.00000""","=""395.96""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.6p""","=""2P*""","=""1/2""",,
Al,11,"=""31.426""","=""2.71e+10""","=""8.02e-03""",B,"=""[21.82264]""","=""416.35""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.8d""","=""2D""","=""3/2""",,
Al,11,"=""31.483""","=""3.23e+10""","=""7.20e-03""",B+,"=""[22.54101]""","=""416.35""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""5/2""",,
Al,11,"=""31.483""","=""5.38e+09""","=""8.00e-04""",C+,"=""[22.54101]""","=""416.35""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""3/2""",,
Al,12,"=""31.98570""","=""2.07e+11""","=""5.28e-02""",A,"=""(1574.97995)""","=""(1962.6038)""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""2""",,
Al,12,"=""31.99225""","=""2.07e+11""","=""3.17e-02""",A,"=""(1574.97995)""","=""(1962.5244)""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""1""",,
Al,12,"=""31.99397""","=""2.07e+11""","=""1.06e-02""",A,"=""(1574.97995)""","=""(1962.5036)""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""0""",,
Al,11,"=""32.069""","=""4.16e+10""","=""1.28e-02""",B,"=""[21.82264]""","=""408.44""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.7d""","=""2D""","=""3/2""",,
Al,11,"=""32.129""","=""4.96e+10""","=""1.15e-02""",B+,"=""[22.54101]""","=""408.44""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""5/2""",,
Al,11,"=""32.129""","=""8.25e+09""","=""1.28e-03""",B,"=""[22.54101]""","=""408.44""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""3/2""",,
Al,11,"=""33.0066""","=""7.49e+10""","=""2.45e-02""",A,"=""0.00000""","=""375.63""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""3/2""",,
Al,11,"=""33.0066""","=""7.50e+10""","=""1.22e-02""",A,"=""0.00000""","=""375.63""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.5p""","=""2P*""","=""1/2""",,
Al,12,"=""33.02384""","=""2.51e+11""","=""1.23e-01""",A,"=""(1587.97098)""","=""(1963.409)""","=""1s.2p""","=""3P*""","=""0""","=""1s.4d""","=""3D""","=""1""",,
Al,12,"=""33.03711""","=""3.37e+11""","=""9.19e-02""",A+,"=""(1588.12560)""","=""(1963.413)""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""2""",,
Al,12,"=""33.03745""","=""1.87e+11""","=""3.06e-02""",A,"=""(1588.12560)""","=""(1963.409)""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""1""",,
Al,12,"=""33.08711""","=""1.98e+11""","=""9.77e-02""",A,"=""(1588.95035)""","=""(1963.6709)""","=""1s.2s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,
Al,12,"=""33.09069""","=""4.48e+11""","=""1.03e-01""",A+,"=""(1588.76116)""","=""(1963.441)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""3""",,
Al,12,"=""33.09315""","=""1.11e+11""","=""1.83e-02""",A,"=""(1588.76116)""","=""(1963.413)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""2""",,
Al,12,"=""33.09349""","=""1.24e+10""","=""1.22e-03""",A,"=""(1588.76116)""","=""(1963.409)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""1""",,
Al,11,"=""33.108""","=""6.82e+10""","=""2.24e-02""",A,"=""[21.82264]""","=""396.30""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.6d""","=""2D""","=""3/2""",,
Al,11,"=""33.172""","=""1.36e+10""","=""2.24e-03""",B+,"=""[22.54101]""","=""396.30""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""3/2""",,
Al,11,"=""33.172""","=""8.14e+10""","=""2.01e-02""",A,"=""[22.54101]""","=""396.30""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""5/2""",,
Al,12,"=""33.2338""","=""7.47e+09""","=""3.71e-03""",A,"=""(1587.97098)""","=""(1961.037)""","=""1s.2p""","=""3P*""","=""0""","=""1s.4s""","=""3S""","=""1""",,
Al,12,"=""33.2476""","=""2.24e+10""","=""3.71e-03""",A,"=""(1588.12560)""","=""(1961.037)""","=""1s.2p""","=""3P*""","=""1""","=""1s.4s""","=""3S""","=""1""",,
Al,12,"=""33.3044""","=""3.71e+10""","=""3.70e-03""",A,"=""(1588.76116)""","=""(1961.037)""","=""1s.2p""","=""3P*""","=""2""","=""1s.4s""","=""3S""","=""1""",,
Al,12,"=""33.94946""","=""4.20e+11""","=""1.21e-01""",A+,"=""(1598.29152)""","=""(1963.4937)""","=""1s.2p""","=""1P*""","=""1""","=""1s.4d""","=""1D""","=""2""",,
Al,12,"=""34.0390""","=""6.34e+10""","=""3.67e-03""",A,"=""(1598.29152)""","=""(1962.533)""","=""1s.2p""","=""1P*""","=""1""","=""1s.4s""","=""1S""","=""0""",,
Al,11,"=""34.9975""","=""1.27e+11""","=""4.65e-02""",A+,"=""[21.82264]""","=""[376.089]""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.5d""","=""2D""","=""3/2""",,
Al,11,"=""35.0672""","=""1.49e+11""","=""4.11e-02""",A+,"=""[22.54101]""","=""[376.102]""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""5/2""",,
Al,11,"=""35.0686""","=""2.48e+10""","=""4.56e-03""",A,"=""[22.54101]""","=""[376.089]""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""3/2""",,
Al,11,"=""35.1656""","=""9.13e+09""","=""1.69e-03""",A,"=""[21.82264]""","=""374.40""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.5s""","=""2S""","=""1/2""",,
Al,11,"=""35.2374""","=""1.83e+10""","=""1.71e-03""",A,"=""[22.54101]""","=""374.40""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.5s""","=""2S""","=""1/2""",,
Al,11,"=""36.6715""","=""1.44e+11""","=""5.79e-02""",A+,"=""0.00000""","=""338.094""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""3/2""",,
Al,11,"=""36.6822""","=""1.45e+11""","=""2.92e-02""",A+,"=""0.00000""","=""337.996""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""1/2""",,
Al,13,"=""38.6504906""","=""1.5462e+12""","=""6.9256e-01""",AA,"=""(1727.685901)""","=""(2048.4688888)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",,
Al,13,"=""38.6565215""","=""6.4006e+11""","=""2.8678e-01""",AA,"=""(1727.736611)""","=""(2048.469552)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,
Al,13,"=""38.7031340""","=""6.4539e+11""","=""1.4494e-01""",AA,"=""(1727.736611)""","=""(2048.083275)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,
Al,13,"=""38.7926206""","=""1.8476e+12""","=""6.2524e-01""",AA,"=""(1728.989427)""","=""(2048.5971167)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",,
Al,11,"=""39.0915""","=""2.70e+11""","=""1.23e-01""",A+,"=""[21.82264]""","=""338.986""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.4d""","=""2D""","=""3/2""",,
Al,11,"=""39.1752""","=""3.22e+11""","=""1.11e-01""",A+,"=""[22.54101]""","=""339.027""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.4d""","=""2D""","=""5/2""",,
Al,11,"=""39.1803""","=""5.31e+10""","=""1.22e-02""",A+,"=""[22.54101]""","=""338.986""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.4d""","=""2D""","=""3/2""",,
Al,11,"=""39.5306""","=""1.96e+10""","=""4.59e-03""",A,"=""[21.82264]""","=""335.46""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.4s""","=""2S""","=""1/2""",,
Al,11,"=""39.6213""","=""3.87e+10""","=""4.56e-03""",A,"=""[22.54101]""","=""335.46""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.4s""","=""2S""","=""1/2""",,
Al,10,"=""40.4210""","=""1.15e+11""","=""4.71e-02""",C,"=""37.256""","=""343.988?""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.5d""","=""1D""","=""2""",,
Al,9,"=""41.5431""","=""5.39e+10""","=""2.09e-02""",C+,"=""[0.6063]""","=""299.054""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""5/2""",,
Al,10,"=""41.7300""","=""1.28e+11""","=""5.56e-02""",C,"=""37.256""","=""334.367?""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2p.4p""","=""1D""","=""2""",,
Al,12,"=""42.58782""","=""4.72e+11""","=""2.14e-01""",A+,"=""(1574.97995)""","=""(1866.1059)""","=""1s.2s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""2""",,
Al,12,"=""42.61536""","=""4.70e+11""","=""1.28e-01""",A+,"=""(1574.97995)""","=""(1865.9178)""","=""1s.2s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""1""",,
Al,12,"=""42.62248""","=""4.70e+11""","=""4.27e-02""",A,"=""(1574.97995)""","=""(1865.8692)""","=""1s.2s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""0""",,
Al,9,"=""43.5491""","=""1.05e+11""","=""4.46e-02""",C+,"=""[0.6063]""","=""285.306""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.5d""","=""2D""","=""5/2""",,
Al,12,"=""44.26447""","=""7.72e+11""","=""6.80e-01""",A+,"=""(1587.97098)""","=""(1868.0697)""","=""1s.2p""","=""3P*""","=""0""","=""1s.3d""","=""3D""","=""1""",,
Al,12,"=""44.28801""","=""1.04e+12""","=""5.10e-01""",A+,"=""(1588.12560)""","=""(1868.0754)""","=""1s.2p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""2""",,
Al,12,"=""44.28892""","=""5.78e+11""","=""1.70e-01""",A+,"=""(1588.12560)""","=""(1868.0697)""","=""1s.2p""","=""3P*""","=""1""","=""1s.3d""","=""3D""","=""1""",,
Al,12,"=""44.31822""","=""4.52e+11""","=""3.99e-01""",A+,"=""(1588.95035)""","=""(1868.7093)""","=""1s.2s""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",,
Al,12,"=""44.37774""","=""1.38e+12""","=""5.70e-01""",A+,"=""(1588.76116)""","=""(1868.1449)""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""3""",,
Al,12,"=""44.38879""","=""3.45e+11""","=""1.02e-01""",A+,"=""(1588.76116)""","=""(1868.0754)""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""2""",,
Al,12,"=""44.38970""","=""3.83e+10""","=""6.78e-03""",A,"=""(1588.76116)""","=""(1868.0697)""","=""1s.2p""","=""3P*""","=""2""","=""1s.3d""","=""3D""","=""1""",,
Al,9,"=""44.7039""","=""9.71e+10""","=""5.82e-02""",C+,"=""0.0000""","=""277.345?""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""2D""","=""3/2""",,
Al,9,"=""44.7429""","=""1.16e+11""","=""5.24e-02""",C+,"=""[0.6063]""","=""277.710?""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2D""","=""5/2""",,
Al,9,"=""44.8019""","=""1.93e+10""","=""5.81e-03""",C,"=""[0.6063]""","=""277.345?""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2D""","=""3/2""",,
Al,10,"=""44.9020""","=""2.30e+11""","=""1.16e-01""",C+,"=""37.256""","=""313.378?""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2s.4d""","=""1D""","=""2""",,
Al,12,"=""45.1954""","=""1.86e+10""","=""1.71e-02""",A,"=""(1587.97098)""","=""(1862.300)""","=""1s.2p""","=""3P*""","=""0""","=""1s.3s""","=""3S""","=""1""",,
Al,12,"=""45.2209""","=""5.58e+10""","=""1.71e-02""",A,"=""(1588.12560)""","=""(1862.300)""","=""1s.2p""","=""3P*""","=""1""","=""1s.3s""","=""3S""","=""1""",,
Al,12,"=""45.3260""","=""9.25e+10""","=""1.71e-02""",A,"=""(1588.76116)""","=""(1862.300)""","=""1s.2p""","=""3P*""","=""2""","=""1s.3s""","=""3S""","=""1""",,
Al,12,"=""45.9287""","=""1.33e+12""","=""7.01e-01""",A+,"=""(1598.29152)""","=""(1868.2410)""","=""1s.2p""","=""1P*""","=""1""","=""1s.3d""","=""1D""","=""2""",,
Al,12,"=""46.3146""","=""1.56e+11""","=""1.67e-02""",A,"=""(1598.29152)""","=""(1865.992)""","=""1s.2p""","=""1P*""","=""1""","=""1s.3s""","=""1S""","=""0""",,
Al,9,"=""47.7550""","=""2.02e+11""","=""1.38e-01""",C+,"=""0.0000""","=""259.625""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.4d""","=""2D""","=""3/2""",,
Al,10,"=""47.8041""","=""2.23e+10""","=""2.30e-02""",A,"=""0.0000""","=""259.359?""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2p.3s""","=""1P*""","=""1""",,
Al,9,"=""47.8560""","=""2.41e+11""","=""1.24e-01""",C+,"=""[0.6063]""","=""259.684""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.4d""","=""2D""","=""5/2""",,
Al,9,"=""47.8668""","=""4.02e+10""","=""1.38e-02""",C+,"=""[0.6063]""","=""259.625""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.4d""","=""2D""","=""3/2""",,
Al,11,"=""48.2970""","=""3.16e+11""","=""2.21e-01""",AA,"=""0.00000""","=""256.712""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.3p""","=""2P*""","=""3/2""",,
Al,11,"=""48.3379""","=""3.18e+11""","=""1.11e-01""",AA,"=""0.00000""","=""256.495""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.3p""","=""2P*""","=""1/2""",,
Al,9,"=""49.854""","=""2.94e+11""","=""1.46e-01""",B,"=""32.202""","=""280.897?""","=""2s.2p2""","=""2D""","=""5/2""","=""2s.2p.(3P*).4d""","=""2F*""","=""7/2""",,
